QID,QName,From,Content,Reward,authorName,
0_1,Nari said to a new friend,Nari,"Hello? This is Nari. Welcome to our town!<n>Can you check your mailbox every day from now on? A letter may have arrived from the residents of Hopeful Island!<n>See you later<n><n>[After a day, a new quest arrives. Be sure to check it out, complete the quest, and get the reward. Welcome to Hopeful Island!] <n><n>*Quests are divided into weekday and weekend quests, and quests cannot be conducted on Saturdays","{""Exp"":10,""Coin"":10, ""1010101"":3}",None,
0_2,Nari to a new friend 2,Nari,"Hi, I forgot to tell you, Daram!<n>Did you see the field in front of your house? You can farm in the fields.<n>Want to buy seeds from a supermarket and touch a field? If you choose a seed and plant it, the crops will grow, Daram!<n>I can sell mature crops.<n><n>Remember the seeds I gave you before? Try planting it once. <n><n>[You can choose seeds to plant in the field with the right jump button near the field next to your house. Plant the seeds and complete the quest.]","{""Exp"":10,""Coin"":20, ""1010102"":3}",None,
1_1,Essential nutrients,Hami,"Hi, my name is Hami. You're a new friend, aren't you? Nice to meet you~ Come to me if you have time! I need to tell you something!<n><n>[Talk to Hami in front of Hami's house and start the quest.]","{""Exp"":10,""Coin"":10}",Hami,
1_2,Essential nutrients [quiz],Quiz,"I talked a lot, didn't I? Then I'll give you a quiz now? Talk to me again when you're ready!<n><n>[If you're ready, talk to Hami and try the quiz]","{""Exp"":10,""Coin"":10}",Hami,
1_3,Essential nutrients,Try it out,"Eat the food that contains the nutrients you learned today and talk to Hami to get a reward<n><n>Nutrients learned today: carbohydrates, proteins, fats, water<n><n>[requires guardian certification]","{""Exp"":10,""Coin"":10}",Hami,
2_1,Children’s Home Training A,Himchan,"Hi! It’s me, Himchan. Remember? Sometimes play with your friends or exercise at the playground! I’m always at the playground, so come anytime! <n><n>[Talk to Himchan on the playground and start the quest. Himchan will teach you how to work out.]","{""Exp"":10,""Coin"":30, ""Badge"":""B3""}",Himchan,
3_1,"In my heart, I-message",Suho,"Hahaha, yes. You seem to have a problem today. Would you tell me if you don’t mind? I might be able to help.<n><n>[Meet SUHO and start the quest]","{""Exp"":10,""Coin"":10}",Suho,
3_2,"My heart, I-message. [Quiz]",Quiz,"[If you’re ready, talk to SUHO and try the quiz]","{""Exp"":10,""Coin"":10}",Suho,
3_3,"In my heart, I-message",Nari,[Go to Nari and apologize],"{""Exp"":10,""Coin"":10}",Nari,
3_4,"In my heart, I-message",Try it out,Express your feelings of the day with an I-message to your parents and talk to the head of Suho to complete the quest.<n><n>[Guardian authentication is required.],"{""Exp"":10,""Coin"":10, ""Badge"":""B14""}",Suho,
4_1,Cycling (Exercise B),Himchan,"Hi! It’s sunny today. Would you like to ride a bike with me? I’ll be at the playground, so come out and play with me!<n><n>[Talk to Himchan on the playground and start the quest. Himchan will teach you how to ride a bicycle","{""Exp"":10,""Coin"":30}",Himchan,
4_2,Cycling (Exercise B),Try it out,Try riding a bike with your family and talk to Himchan to complete the quest.<n><n>[Guardian authentication is required.],"{""Exp"":10,""Coin"":30, ""Badge"":""B5""}",Himchan,
5_1,Finding the treasure in my heart,Yeomi,"Ho ho, how are you doing? I came up with a new hairstyle these days. What comes to your mind? If you’re not busy, visit us~<n><n>[Talk to Yeomi in the salon and start the quest. Find the treasure in my heart with Yeomi.]","{""Exp"":10,""Coin"":30}",Yeomi,
